config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,3,31,False,54,2026-09-07 22:36:08.947220,1788791768947220,Memtable Max Range Deletions,513,15887,235777,52071,foreground
Native-T512,3,32,False,56,2026-09-07 22:36:09.011797,1788791769011797,Memtable Max Range Deletions,512,16399,236584,52192,foreground
Native-T512,3,33,False,57,2026-09-07 22:36:09.066651,1788791769066651,Memtable Max Range Deletions,512,16911,238848,52430,foreground
Native-T512,3,34,False,58,2026-09-07 22:36:09.126753,1788791769126753,Memtable Max Range Deletions,513,17424,243984,53162,foreground
Native-T512,3,35,False,60,2026-09-07 22:36:09.187124,1788791769187124,Memtable Max Range Deletions,512,17936,232622,51619,foreground
Native-T512,3,36,False,63,2026-09-07 22:36:09.246487,1788791769246487,Memtable Max Range Deletions,512,18448,237716,52184,foreground
Native-T512,3,37,False,64,2026-09-07 22:36:09.311489,1788791769311489,Memtable Max Range Deletions,512,18960,229792,51479,foreground
Native-T512,3,38,False,67,2026-09-07 22:36:09.381444,1788791769381444,Memtable Max Range Deletions,512,19472,239131,52417,foreground
Native-T512,3,39,False,68,2026-09-07 22:36:09.478445,1788791769478445,Memtable Max Range Deletions,512,19984,238565,52292,foreground
Native-T512,3,40,True,ACTIVE_MEMTABLE,N/A (Unflushed),N/A,Remained Below Threshold,16,20000,N/A,0,foreground
Native-T512,4,1,False,3,2026-09-07 22:37:29.325763,1788791849325763,Memtable Max Range Deletions,512,512,5897433,714374,foreground
Native-T512,4,2,False,4,2026-09-07 22:37:29.328672,1788791849328672,Memtable Max Range Deletions,513,1025,243701,53135,foreground
Native-T512,4,3,False,7,2026-09-07 22:37:29.345689,1788791849345689,Memtable Max Range Deletions,512,1537,235169,51927,foreground
Native-T512,4,4,False,8,2026-09-07 22:37:29.365543,1788791849365543,Memtable Max Range Deletions,513,2050,234928,51985,foreground
Native-T512,4,5,False,9,2026-09-07 22:37:29.385752,1788791849385752,Memtable Max Range Deletions,512,2562,238848,52469,foreground
Native-T512,4,6,False,11,2026-09-07 22:37:29.408760,1788791849408760,Memtable Max Range Deletions,513,3075,244267,53086,foreground
Native-T512,4,7,False,12,2026-09-07 22:37:29.427082,1788791849427082,Memtable Max Range Deletions,512,3587,242810,52813,foreground
Native-T512,4,8,False,13,2026-09-07 22:37:29.448174,1788791849448174,Memtable Max Range Deletions,512,4099,239131,52533,foreground
Native-T512,4,9,False,15,2026-09-07 22:37:29.471516,1788791849471516,Memtable Max Range Deletions,513,4612,234928,51869,foreground
Native-T512,4,10,False,18,2026-09-07 22:37:29.492882,1788791849492882,Memtable Max Range Deletions,512,5124,246772,53325,foreground
Native-T512,4,11,False,19,2026-09-07 22:37:29.515535,1788791849515535,Memtable Max Range Deletions,512,5636,237999,52346,foreground
Native-T512,4,12,False,22,2026-09-07 22:37:29.539855,1788791849539855,Memtable Max Range Deletions,512,6148,238848,52282,foreground
Native-T512,4,13,False,24,2026-09-07 22:37:29.564583,1788791849564583,Memtable Max Range Deletions,513,6661,236626,52114,foreground
Native-T512,4,14,False,27,2026-09-07 22:37:29.604291,1788791849604291,Memtable Max Range Deletions,512,7173,249036,53707,foreground
